color,congruent,word,corrans,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,inverse2.thisRepN,inverse2.thisTrialN,inverse2.thisN,inverse2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,date,frameRate,expName,session,participant,
GREEN,0,BLUE,n,,,,,,,,,0,6,6,8,,,,,,,,n,1,0.949834220855,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,7,7,24,,,,,,,,z,1,0.766657121054,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,8,8,26,,,,,,,,m,1,0.983186038466,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,,,,,0,9,9,12,,,,,,,,m,1,0.916577086889,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,BLUE,n,,,,,,,,,0,10,10,22,,,,,,,,m,0,0.766828942076,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,YELLOW,n,,,,,,,,,0,11,11,28,,,,,,,,n,1,0.666703304161,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,,,,,0,12,12,23,,,,,,,,x,1,0.733211612982,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,BLUE,x,,,,,,,,,0,13,13,10,,,,,,,,x,1,0.566708104556,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,14,14,4,,,,,,,,n,1,0.716610855182,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,RED,m,,,,,,,,,0,15,15,14,,,,,,,,m,1,0.849646674402,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,16,16,29,,,,,,,,z,1,0.866671522238,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,z,,,,,,,,,0,17,17,2,,,,,,,,m,0,0.683224938216,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,YELLOW,m,,,,,,,,,0,18,18,37,,,,,,,,m,1,0.56666804609,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,RED,z,,,,,,,,,0,19,19,3,,,,,,,,x,0,0.766595212517,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,20,20,17,,,,,,,,z,1,1.13330066858,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,,,,,0,21,21,1,,,,,,,,z,1,0.733179499997,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,22,22,30,,,,,,,,x,1,0.699962424497,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,23,23,15,,,,,,,,m,1,1.26644640028,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,24,24,33,,,,,,,,x,1,0.49997467378,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,RED,z,,,,,,,,,0,25,25,11,,,,,,,,z,1,0.683204743452,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,BLUE,x,,,,,,,,,0,26,26,7,,,,,,,,x,1,0.616737486282,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,27,27,35,,,,,,,,n,1,0.600009931851,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,,,,,0,28,28,34,,,,,,,,n,1,0.550022594961,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,,,,,,,,,0,29,29,36,,,,,,,,m,1,0.949933870426,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,,,,,,,,,0,30,30,27,,,,,,,,x,1,1.01656930694,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,,,,,,,,,0,31,31,25,,,,,,,,m,0,1.76633234953,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,m,,,,,,,,,0,32,32,19,,,,,,,,n,0,0.649968466374,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,YELLOW,z,,,,,,,,,0,33,33,21,,,,,,,,z,1,0.89990250233,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,YELLOW,n,,,,,,,,,0,34,34,6,,,,,,,,z,0,0.916394340831,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,GREEN,z,,,,,,,,,0,35,35,9,,,,,,,,x,0,1.53302919799,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,36,36,5,,,,,,,,z,1,0.866525524029,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,RED,m,,,,,,,,,0,37,37,32,,,,,,,,m,1,0.900045520983,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,YELLOW,m,,,,,,,,,0,38,38,31,,,,,,,,m,1,0.799801362981,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,,,,,,,,,0,39,39,18,,,,,,,,z,1,0.850016139258,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.79887041749,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
