 [File Information]      		 [Data Line]	36
Measured Date	2016/09/08 11:06:36
ID	03001	Version	5.01
Name	ChiK13	[HeaderType]	5.01/2.01
Comment	
[Measurement Info.]
Holder Location	      19
Block Design	Off     
Pre.Rest Time	      60
Task Time	     120
Pos.Rest Time	      30
Loop	       1
Averaging	       1
Total Points	   10913
[.INF File]
Filename	thuong0402.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
   0.00,  0.00,  0.00,  0.00,536.00,458.00,653.00,  0.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Voltage 
Time Range	    0.00	  600.16	Averaing	1
(8,6)(3,6)(8,7)(5,6)(3,5)(5,7)(5,5)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7
Time(sec)	Task	Mark	Count	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm
     2.035	0	0	    0	    0.719768	    0.657206	    0.675212	    1.762570	    1.271534	    1.727474	    1.716182	    1.208972	    1.354849	    0.259861	    0.191501	    0.186618	    1.438468	    1.147631	    1.225757	    1.594110	    1.017014	    0.971237	    1.660639	    1.174182	    1.137560
     2.090	0	0	    0	    0.720989	    0.662089	    0.675822	    1.763790	    1.276417	    1.725338	    1.721370	    1.230030	    1.352407	    0.261387	    0.191501	    0.188144	    1.443656	    1.160143	    1.223926	    1.601129	    1.042344	    0.982528	    1.675288	    1.175402	    1.136645
     2.145	0	0	    0	    0.723735	    0.661173	    0.676432	    1.775998	    1.276722	    1.736934	    1.730220	    1.221180	    1.374990	    0.262608	    0.194553	    0.188144	    1.454948	    1.163806	    1.233082	    1.614557	    1.046921	    0.981613	    1.691768	    1.191882	    1.149767
     2.200	0	0	    0	    0.721294	    0.662089	    0.679179	    1.767147	    1.284352	    1.735409	    1.732662	    1.223316	    1.378653	    0.264134	    0.194553	    0.189975	    1.451286	    1.168078	    1.239796	    1.623102	    1.056992	    0.995041	    1.696956	    1.196765	    1.158923
     2.255	0	0	    0	    0.727703	    0.666667	    0.679179	    1.780575	    1.287709	    1.749142	    1.752804	    1.232166	    1.377737	    0.263523	    0.194858	    0.189975	    1.467765	    1.176928	    1.248035	    1.630732	    1.057603	    0.991989	    1.698787	    1.198901	    1.162890
     2.310	0	0	    0	    0.717937	    0.659342	    0.668498	    1.770199	    1.277333	    1.733272	    1.726558	    1.213550	    1.355764	    0.263218	    0.192416	    0.189059	    1.452811	    1.164111	    1.234607	    1.608759	    1.043259	    0.976730	    1.685969	    1.183642	    1.143053
     2.365	0	0	    0	    0.712139	    0.655680	    0.668193	    1.757076	    1.266346	    1.717403	    1.717098	    1.201648	    1.339895	    0.261082	    0.191196	    0.186007	    1.439689	    1.151904	    1.220264	    1.592584	    1.028000	    0.966964	    1.677729	    1.178454	    1.133593
     2.420	0	0	    0	    0.711833	    0.653544	    0.665446	    1.756161	    1.267567	    1.714656	    1.715267	    1.206226	    1.327687	    0.260166	    0.190585	    0.186618	    1.444572	    1.146105	    1.211719	    1.585565	    1.024033	    0.966354	    1.671626	    1.172045	    1.134203
     2.475	0	0	    0	    0.717021	    0.651102	    0.666667	    1.750668	    1.267872	    1.718318	    1.703059	    1.195239	    1.331044	    0.260472	    0.190585	    0.186313	    1.432670	    1.147936	    1.216297	    1.595026	    1.022507	    0.962997	    1.669184	    1.172656	    1.137865
     2.530	0	0	    0	    0.717632	    0.654154	    0.666361	    1.752499	    1.263905	    1.714351	    1.710994	    1.195239	    1.341421	    0.261082	    0.190280	    0.187228	    1.433585	    1.144579	    1.213855	    1.607843	    1.023728	    0.969711	    1.674983	    1.178149	    1.135119
