time	S1_D1_HbO	S1_D2_HbO	
   1.4960000e+01	   3.8675581e-01	   6.9450277e-01	
   1.5015000e+01	   3.4949655e-01	   6.6885728e-01	
   1.5070000e+01	   2.4351729e-01	   6.2676569e-01	
   1.5125000e+01	   1.3400108e-01	   5.6343400e-01	
   1.5180000e+01	   6.9704517e-02	   4.7153877e-01	
   1.5235000e+01	   6.1466868e-02	   3.5743080e-01	
   1.5290000e+01	   1.2281108e-01	   2.5944338e-01	
   1.5345000e+01	   2.5839373e-01	   2.2412169e-01	
   1.5400000e+01	   4.1410175e-01	   2.6383188e-01	
   1.5455000e+01	   5.1813646e-01	   3.5158776e-01	
   1.5510000e+01	   5.7514059e-01	   4.5045080e-01	
   1.5565000e+01	   6.4363537e-01	   5.3173160e-01	
   1.5620000e+01	   7.2572659e-01	   5.7503465e-01	
   1.5675000e+01	   7.5356551e-01	   5.7478702e-01	
   1.5730000e+01	   6.8456517e-01	   5.4610189e-01	
   1.5785000e+01	   5.4979790e-01	   5.0835089e-01	
   1.5840000e+01	   4.0326159e-01	   4.6198913e-01	
   1.5895000e+01	   2.8228366e-01	   3.8958596e-01	
   1.5950000e+01	   2.2859459e-01	   2.8011996e-01	
   1.6005000e+01	   2.7597380e-01	   1.4991973e-01	
   1.6060000e+01	   3.8893992e-01	   4.2530898e-02	
   1.6115000e+01	   4.7136107e-01	   7.4739811e-03	
   1.6170000e+01	   4.6404189e-01	   6.7340527e-02	
   1.6225000e+01	   4.0115692e-01	   1.9535128e-01	
   1.6280000e+01	   3.5358475e-01	   3.2917381e-01	
   1.6335000e+01	   3.4584431e-01	   4.1545953e-01	
   1.6390000e+01	   3.5367500e-01	   4.4199879e-01	
   1.6445000e+01	   3.5206306e-01	   4.2636761e-01	
   1.6500000e+01	   3.2864901e-01	   3.8181825e-01	
   1.6555000e+01	   2.7966297e-01	   3.0448085e-01	
   1.6610000e+01	   2.2227300e-01	   1.9084588e-01	
   1.6665000e+01	   1.8078538e-01	   5.4875997e-02	
   1.6720000e+01	   1.5558953e-01	  -7.3860445e-02	
   1.6775000e+01	   1.3983959e-01	  -1.5803732e-01	
   1.6830000e+01	   1.4807651e-01	  -1.6298770e-01	
   1.6885000e+01	   1.8984866e-01	  -8.2990210e-02	
   1.6940000e+01	   2.4036017e-01	   4.0509593e-02	
   1.6995000e+01	   2.6982126e-01	   1.4695171e-01	
   1.7050000e+01	   2.7624752e-01	   1.9893635e-01	
   1.7105000e+01	   2.6627573e-01	   1.8636832e-01	
   1.7160000e+01	   2.3447037e-01	   1.1530720e-01	
   1.7215000e+01	   1.8236383e-01	   1.4248705e-02	
   1.7270000e+01	   1.2418351e-01	  -7.3758741e-02	
   1.7325000e+01	   5.6462513e-02	  -1.2940616e-01	
   1.7380000e+01	  -4.0595729e-02	  -1.7348735e-01	
   1.7435000e+01	  -1.5156635e-01	  -2.3230538e-01	
   1.7490000e+01	  -2.1191561e-01	  -3.0074839e-01	
   1.7545000e+01	  -1.7969602e-01	  -3.4614427e-01	
   1.7600000e+01	  -9.6470869e-02	  -3.3513606e-01	
   1.7655000e+01	  -3.4234376e-02	  -2.5767232e-01	
   1.7710000e+01	  -4.5599028e-03	  -1.4025788e-01	
   1.7765000e+01	   3.0051481e-02	  -3.2289413e-02	
   1.7820000e+01	   8.2883497e-02	   3.4025381e-02	
   1.7875000e+01	   1.3802818e-01	   6.6772452e-02	
   1.7930000e+01	   1.8892155e-01	   8.9147832e-02	
   1.7985000e+01	   2.2270297e-01	   9.7838410e-02	
   1.8040000e+01	   1.9389703e-01	   6.2970959e-02	
   1.8095000e+01	   6.9089421e-02	  -2.8046928e-02	
   1.8150000e+01	  -1.1937964e-01	  -1.4653028e-01	
   1.8205000e+01	  -2.9163032e-01	  -2.5462683e-01	
   1.8260000e+01	  -3.7272910e-01	  -3.4566333e-01	
   1.8315000e+01	  -3.3011272e-01	  -4.3270771e-01	
   1.8370000e+01	  -1.9731950e-01	  -5.0400146e-01	
   1.8425000e+01	  -6.9716651e-02	  -5.1660853e-01	
   1.8480000e+01	  -4.3725937e-02	  -4.4261146e-01	
   1.8535000e+01	  -1.2409376e-01	  -3.0318934e-01	
   1.8590000e+01	  -2.0289023e-01	  -1.5093803e-01	
   1.8645000e+01	  -1.7436536e-01	  -3.4297828e-02	
   1.8700000e+01	  -6.1472751e-02	   2.1696602e-02	
   1.8755000e+01	   1.6904559e-02	   2.1368281e-02	
   1.8810000e+01	  -5.6958255e-03	  -9.0007628e-03	
   1.8865000e+01	  -7.2279063e-02	  -4.6607478e-02	
   1.8920000e+01	  -8.7339945e-02	  -9.3141154e-02	
   1.8975000e+01	  -4.2360358e-02	  -1.6549171e-01	
   1.9030000e+01	  -2.5531752e-02	  -2.7065987e-01	
   1.9085000e+01	  -1.1337331e-01	  -3.9535535e-01	
