time	S1_D2_HbO	
   2.7500000e+01	  -1.2050470e+00	
   2.7555000e+01	  -1.2814553e+00	
   2.7610000e+01	  -1.3141405e+00	
   2.7665000e+01	  -1.2967627e+00	
   2.7720000e+01	  -1.2304760e+00	
   2.7775000e+01	  -1.1235216e+00	
   2.7830000e+01	  -9.8958176e-01	
   2.7885000e+01	  -8.4530635e-01	
   2.7940000e+01	  -7.0761544e-01	
   2.7995000e+01	  -5.9133198e-01	
   2.8050000e+01	  -5.0750890e-01	
   2.8105000e+01	  -4.6257419e-01	
   2.8160000e+01	  -4.5815250e-01	
   2.8215000e+01	  -4.9130526e-01	
   2.8270000e+01	  -5.5505782e-01	
   2.8325000e+01	  -6.3925879e-01	
   2.8380000e+01	  -7.3182756e-01	
   2.8435000e+01	  -8.2030437e-01	
   2.8490000e+01	  -8.9353850e-01	
   2.8545000e+01	  -9.4334896e-01	
   2.8600000e+01	  -9.6586267e-01	
   2.8655000e+01	  -9.6211370e-01	
   2.8710000e+01	  -9.3766884e-01	
   2.8765000e+01	  -9.0136102e-01	
   2.8820000e+01	  -8.6341567e-01	
   2.8875000e+01	  -8.3339962e-01	
   2.8930000e+01	  -8.1848687e-01	
   2.8985000e+01	  -8.2238960e-01	
   2.9040000e+01	  -8.4500189e-01	
   2.9095000e+01	  -8.8259144e-01	
   2.9150000e+01	  -9.2842200e-01	
   2.9205000e+01	  -9.7384766e-01	
   2.9260000e+01	  -1.0098918e+00	
   2.9315000e+01	  -1.0290880e+00	
   2.9370000e+01	  -1.0271693e+00	
   2.9425000e+01	  -1.0041826e+00	
   2.9480000e+01	  -9.6466412e-01	
   2.9535000e+01	  -9.1665284e-01	
   2.9590000e+01	  -8.6970661e-01	
   2.9645000e+01	  -8.3260135e-01	
   2.9700000e+01	  -8.1152647e-01	
   2.9755000e+01	  -8.0917102e-01	
   2.9810000e+01	  -8.2459209e-01	
   2.9865000e+01	  -8.5362021e-01	
   2.9920000e+01	  -8.8968428e-01	
   2.9975000e+01	  -9.2501144e-01	
   3.0030000e+01	  -9.5208531e-01	
   3.0085000e+01	  -9.6516396e-01	
   3.0140000e+01	  -9.6162105e-01	
   3.0195000e+01	  -9.4278078e-01	
   3.0250000e+01	  -9.1384393e-01	
   3.0305000e+01	  -8.8273297e-01	
   3.0360000e+01	  -8.5817780e-01	
   3.0415000e+01	  -8.4763964e-01	
